time,image,author,country,language,citation
1901,upload.wikimedia.org/wikipedia/commons/thumb/3/39/Sully-Prudhomme.jpg/75px-Sully-Prudhomme.jpg,Sully Prudhomme,France,French,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect"
1902,upload.wikimedia.org/wikipedia/commons/thumb/e/e9/T-mommsen-2.jpg/75px-T-mommsen-2.jpg,Theodor Mommsen,Germany,German,"the greatest living master of the art of historical writing, with special reference to his monumental work A History of Rome"
1903,upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Portrett_av_Bj%C3%B8rnstjerne_Bj%C3%B8rnson%2C_1909_-_no-nb_digifoto_20150129_00043_bldsa_BB0791_-_Restoration.jpg/75px-Portrett_av_Bj%C3%B8rnstjerne_Bj%C3%B8rnson%2C_1909_-_no-nb_digifoto_20150129_00043_bldsa_BB0791_-_Restoration.jpg,Bjørnstjerne Bjørnson,Norway,Norwegian,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit"
1904,upload.wikimedia.org/wikipedia/commons/thumb/9/97/Frederic_Mistral_portrait_photo.jpg/75px-Frederic_Mistral_portrait_photo.jpg,Frédéric Mistral,France,Provençal,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Provençal philologist"
1904,upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Jos%C3%A9_Echegaray_y_Eizaguirre.jpg/75px-Jos%C3%A9_Echegaray_y_Eizaguirre.jpg,José Echegaray,Spain,Spanish,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama"
1905,upload.wikimedia.org/wikipedia/commons/thumb/d/db/Henryk_Sienkiewicz_02.jpg/75px-Henryk_Sienkiewicz_02.jpg,Henryk Sienkiewicz,Poland,Polish,because of his outstanding merits as an epic writer
1906,upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Carducci.jpg/75px-Carducci.jpg,Giosuè Carducci,Italy,Italian,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces"
1907,upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Kiplingcropped.jpg/75px-Kiplingcropped.jpg,Rudyard Kipling,United Kingdom,English,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration that characterize the creations of this world-famous author"
1908,upload.wikimedia.org/wikipedia/commons/thumb/8/89/Rudolf_Christoph_Eucken.jpg/75px-Rudolf_Christoph_Eucken.jpg,Rudolf Christoph Eucken,Germany,German,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life"
1909,upload.wikimedia.org/wikipedia/commons/thumb/1/11/Selma_Lagerl%C3%B6f.jpg/75px-Selma_Lagerl%C3%B6f.jpg,Selma Lagerlöf,Sweden,Swedish,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings"
